timestamp,Boomer Rocket Team ,Engineering Diversity and Inclusion Program Fund MEP & D&I ,Civil Engineering & Environmental Science ,Aerospace & Mechanical Engineering ,Industrial & Systems Engineering ,Engineering Pathways ,Diversity & Inclusion Scholarships ,Sooner Off Road ,Electrical Engineering Undergraduate Lab ,Sooner Rover ,OU Young Engineering Alumni ,Sooner Competitive Robotics Team ,E-Club ,LKOT ,Design Build Fly ,OU Artificial Intelligence/Machine Learning Club ,Electrical & Computer Engineering ,Sooner Racing Team ,Engineering Physics ,Concrete Canoe ,Computer Science ,Women in Engineering 
Apr 08 @ 10:03:57,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr 08 @ 13:04:32,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr 08 @ 17:55:36,0.0,0.0,0.0,50.0,50.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr 10 @ 14:58:22,0.0,0.0,0.0,50.0,100.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr 10 @ 18:09:39,0.0,0.0,0.0,50.0,100.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Apr 10 @ 18:23:45,0.0,0.0,0.0,50.0,100.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Apr 10 @ 18:28:41,0.0,1000.0,0.0,50.0,100.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Apr 10 @ 19:17:14,0.0,1000.0,0.0,50.0,100.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,10.0,0.0,250.0,0.0,0.0
Apr 10 @ 21:12:30,0.0,1000.0,0.0,50.0,600.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,10.0,0.0,250.0,0.0,0.0
Apr 11 @ 15:59:57,0.0,1000.0,0.0,50.0,600.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,10.0,0.0,250.0,0.0,0.0
Apr 11 @ 21:58:17,0.0,1000.0,0.0,50.0,600.0,0.0,1000.0,220.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,10.0,0.0,250.0,0.0,0.0
Apr 11 @ 22:07:32,0.0,2000.0,0.0,50.0,600.0,0.0,1000.0,220.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,10.0,0.0,250.0,0.0,0.0
Apr 12 @ 6:51:57,0.0,2000.0,0.0,50.0,600.0,0.0,1000.0,220.0,0.0,50.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,10.0,0.0,250.0,0.0,0.0
Apr 12 @ 8:10:38,0.0,2000.0,0.0,50.0,700.0,0.0,1000.0,220.0,0.0,50.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,10.0,0.0,250.0,0.0,0.0
Apr 12 @ 8:33:28,0.0,2100.0,0.0,50.0,700.0,0.0,1000.0,220.0,0.0,50.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,10.0,0.0,250.0,0.0,0.0
Apr 12 @ 9:04:23,0.0,2100.0,0.0,50.0,700.0,0.0,1000.0,220.0,0.0,50.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,10.0,0.0,250.0,0.0,50.0
Apr 12 @ 9:04:23,0.0,2100.0,0.0,50.0,700.0,0.0,1000.0,220.0,0.0,50.0,0.0,100.0,0.0,571.0,0.0,0.0,0.0,10.0,0.0,250.0,0.0,0.0
